index,game,prize,players,tournaments
41,Counter-Strike Online,"$40,000.00",15 Players,1 Tournament
42,Pokk̩n Tournament,"$39,976.66",34 Players,7 Tournaments
43,Project M,"$38,048.66",162 Players,48 Tournaments
44,Grey Goo,"$30,000.00",12 Players,2 Tournaments
45,Guilty Gear Xrd -REVELATOR-,"$28,899.49",47 Players,11 Tournaments
46,Quake Live,"$27,954.74",14 Players,24 Tournaments
47,QuakeWorld,"$25,000.00",16 Players,1 Tournament
48,FIFA 17,"$20,305.99",9 Players,3 Tournaments
49,Super Smash Bros.,"$18,173.98",74 Players,32 Tournaments
50,Ultimate Marvel vs. Capcom 3,"$17,761.06",44 Players,24 Tournaments
51,Battlerite,"$12,881.74",55 Players,38 Tournaments
52,Ultra Street Fighter IV,"$8,546.61",42 Players,15 Tournaments
53,Metal Gear Online,"$8,000.00",37 Players,8 Tournaments
54,Guilty Gear Xrd -SIGN-,"$7,110.00",25 Players,10 Tournaments
55,Skullgirls Encore,"$5,110.00",13 Players,4 Tournaments
56,King of Fighters XIV,"$4,988.49",18 Players,3 Tournaments
57,Pro Evolution Soccer 2017,"$4,697.71",23 Players,11 Tournaments
58,Super Smash Bros. Brawl,"$4,180.54",36 Players,12 Tournaments
59,BlazBlue: Chronophantasma Extend,"$3,974.56",16 Players,6 Tournaments
60,Battlefield 4,"$3,183.05",20 Players,2 Tournaments
61,Under Night In-Birth EXE: Late,"$3,050.00",19 Players,7 Tournaments
62,BlazBlue: Central Fiction,"$2,836.51",11 Players,2 Tournaments
63,Tekken Tag Tournament 2,"$2,520.00",13 Players,4 Tournaments
64,Naruto Shippuden: Ultimate Ninja Storm 4,"$2,000.00",0 Players,2 Tournaments
65,Dead or Alive 5: Last Round,"$1,934.58",14 Players,5 Tournaments
66,Skullgirls 2nd Encore,"$1,700.00",8 Players,1 Tournament
67,TrackMania 2: Stadium,"$1,535.71",3 Players,1 Tournament
68,Super Street Fighter II Turbo,"$1,459.72",17 Players,4 Tournaments
69,Nitroplus Blasterz: Heroines Infinite Duel,"$1,380.00",5 Players,2 Tournaments
70,Xonotic,"$1,283.15",13 Players,3 Tournaments
71,Persona 4 Arena Ultimax,"$1,250.00",11 Players,4 Tournaments
72,Pro Evolution Soccer 2016,"$1,248.27",14 Players,5 Tournaments
73,Unreal Tournament (2016),"$1,071.42",17 Players,3 Tournaments
74,Vampire Savior,$918.74,9 Players,3 Tournaments
75,Guilty Gear XX Accent Core Plus R,$870.00,5 Players,2 Tournaments
76,King of Fighters XIII,$834.57,9 Players,3 Tournaments
77,NHL '94,$806.16,7 Players,3 Tournaments
78,Melty Blood: Actress Again Current Code,$700.00,8 Players,1 Tournament
79,Dengeki Bunko: Fighting Climax Ignition,$662.30,11 Players,2 Tournaments
80,Splatoon,$620.00,0 Players,1 Tournament
81,Injustice: Gods Among Us,$500.00,3 Players,1 Tournament
82,Rivals of Aether,$500.00,2 Players,2 Tournaments
83,Bloodline Champions,$455.32,6 Players,4 Tournaments
84,King of Fighters 2002 Unlimited Match,$380.00,3 Players,1 Tournament
85,Catherine,$270.00,3 Players,1 Tournament
86,Virtua Fighter 5 Final Showdown,$268.54,7 Players,2 Tournaments
87,Koihime Enbu,$250.00,3 Players,1 Tournament
88,MOBA Legends,$225.00,3 Players,1 Tournament
89,Arcana Heart 3: LOVE MAX!!!!!,$210.00,3 Players,1 Tournament
90,Marvel vs. Capcom 3,$199.29,0 Players,1 Tournament
91,Divekick,$180.00,3 Players,1 Tournament
92,Tatsunoko vs. Capcom: Ultimate All-Stars,$170.00,3 Players,1 Tournament
93,Aquapazza: Aquaplus Dream Match,$160.00,3 Players,1 Tournament
94,Soul Calibur V,$140.00,3 Players,2 Tournaments
95,Marvel vs. Capcom 2,$100.00,3 Players,1 Tournament
96,Reflex,$32.74,1 Player,1 Tournament
